'ba'gai'ge'fang'zai'shou'wei 把改革放在首位
'nong'cun'ren'min'gong'she'hua'yun'dong 农村人民公社化运动
'nong'ye'he'zuo'hua'yun'dong 农业合作化运动
'nu'li'jian'she'gao'du'de'she'hui'zhu'yi'jing'shen'wen'ming 努力建设高度的社会主义精神文明
'nu'li'jian'she'gao'du'de'she'hui'zhu'yi'min'zhu 努力建设高度的社会主义民主
'pu'bian'lun'xun'gan'bu 普遍轮训干部
'pu'zhang'lang'fei 铺张浪费
'qi'wu'ji'hua 七五计划
'qi'yue 契约
'quan'hang'ye'gong'si'he'ying 全行业公私合营
'ren'cai'bei'chu 人才辈出
'san'ba'xian 三八线
'she'hui'zhu'yi'fa'zhi'de'jian'she 社会主义法制的建设
'she'hui'zhu'yi'ge'ming'he'she'hui'zhu'yi'jian'she 社会主义革命和社会主义建设
'she'hui'zhu'yi'jian'she'zong'lu'xian 社会主义建设总路线
'she'hui'zhu'yi'jiao'yu'yun'dong 社会主义教育运动
'she'hui'zhu'yi'suo'you'zhi 社会主义所有制
'shen'gan 审干
'shi'he'wo'guo'guo'qing'de'fa'zhan'zhan'lue 适合我国国情的发展战略
'shi'yong'he'ti'ba'gan'bu 使用和提拔干部
'shou'gong'ye'sheng'chan'he'zuo'she 手工业生产合作社
'su'fan'yun'dong 肃反运动
'tan'wu'fu'hua 贪污腐化
'tang'yi'pao'dan 糖衣炮弹
'tiao'zheng'chan'ye'jie'gou 调整产业结构
'ting'zhan'tan'pan 停战谈判
'tong'gou'bao'xiao 统购包销
'tong'gou'tong'xiao 统购统销
'tou'ji'dao'ba 投机倒把
'tu'di'gai'ge'fa 土地改革法
'tu'di'gai'ge'yun'dong 土地改革运动
'tu'fei 土匪
'wei'jian'she'she'hui'zhu'yi'xian'dai'hua'qiang'guo'er'fen'dou 为建设社会主义现代化强国而奋斗
'wei'li'shi'tu 唯利是图
'wei'tuo'jing'xiao'dai'xiao 委托经销代销
'xian'dai'gong'ye 现代工业
'xian'dai'guo'fang 现代国防
'xian'dai'ke'xue'ji'shu 现代科学技术
'xian'dai'nong'ye 现代农业
'yi'cheng'shi'wei'zhong'dian'de'jing'ji'ti'zhi'gai'ge 以城市为重点的经济体制改革
'yi'kao'pin'xia'zhong'nong 依靠贫下中农
'yi'nong'cun'wei'zhong'dian'de'jing'ji'ti'zhi'gai'ge 以农村为重点的经济体制改革
'yi'tiao'shi'he'wo'guo'qing'kuang'de'she'hui'zhu'yi'xian'dai'hua'jian'she'de'zheng'que'dao'lu 一条适合我国情况的社会主义现代化建设的正确道路
'zeng'qiang'quan'min'suo'you'zhi'qi'ye'de'huo'li 增强全民所有制企业的活力
'zhen'fen'jing'shen 振奋精神
'zhen'ya'fan'ge'ming'yun'dong 镇压反革命运动
'zhen'ya'yu'kuan'da'xiang'jie'he'de'zheng'ce 镇压与宽大相结合的政策
'zheng'dun'si'xiang'zuo'feng'he'gong'zuo'zuo'feng 整顿思想作风和工作作风
'zheng'feng'yun'dong 整风运动
'zhong'guo'ren'min'zhi'yuan'jun 中国人民志愿军
'zhong'hua'ren'min'gong'he'guo'cheng'li 中华人民共和国成立
'zi'ben'zhu'yi'cheng'fen 资本主义成分
'zi'ran'zai'hai 自然灾害
