'ban'gong'ting 办公厅
'tai'wan'min'zhu'zi'zhi'tong'meng 台湾民主自治同盟
'te'ding'wen'ti'diao'cha'wei'yuan'hui 特定问题调查委员会
'ti'an'shen'cha'wei'yuan'hui 提案审查委员会
'tie'dao'bu 铁道部
'wai'guo'qi'ye'fu'wu'gong'si 外国企业服务公司
'wai'jiao'bu 外交部
'wai'shi'wei'yuan'hui 外事委员会
'wei'sheng'bu 卫生部
'wen'hua'bu 文化部
'xian'fa'xiu'gai'wei'yuan'hui 宪法修改委员会
'xin'xi'chan'ye'bu 信息产业部
'zhong'gong'dang'shi'ren'wu'yan'jiu'hui 中共党史人物研究会
'zhong'gong'zhong'yang'ban'gong'ting 中共中央办公厅
'zhong'gong'zhong'yang'ji'lv'jian'cha'wei'yuan'hui 中共中央纪律检查委员会
'zhong'gong'zhong'yang'wei'yuan'hui 中共中央委员会
'zhong'gong'zhong'yang'zhi'shu'ji'guan'gong'zuo'wei'yuan'hui 中共中央直属机关工作委员会
'zhong'guo'ao'lin'pi'ke'wei'yuan'hui 中国奥林匹克委员会
'zhong'guo'bi'hui'zhong'xin 中国笔会中心
'zhong'guo'biao'zhun'hua'xie'hui 中国标准化协会
'zhong'guo'cai'zheng'xue'hui 中国财政学会
'zhong'guo'can'ji'ren'fu'li'ji'jin'hui 中国残疾人福利基金会
'zhong'guo'cheng'tao'she'bei'chu'kou'gong'si 中国成套设备出口公司
'zhong'guo'chu'ban'dui'wai'mao'yi'gong'si 中国出版对外贸易公司
'zhong'guo'chuan'bo'gong'si 中国船舶公司
'zhong'guo'dao'jiao'xie'hui 中国道教协会
'zhong'guo'dian'shi'yi'shu'jia'xie'hui 中国电视艺术家协会
'zhong'guo'dian'ying'fa'xing'fang'ying'gong'si 中国电影发行放映公司
'zhong'guo'dian'ying'jia'xie'hui 中国电影家协会
'zhong'guo'dian'ying'ping'lun'xue'hui 中国电影评论学会
'zhong'guo'dian'zi'ji'shu'jin'chu'kou'gong'si 中国电子技术进出口公司
'zhong'guo'dui'wai'fan'yi'chu'ban'gong'si 中国对外翻译出版公司
'zhong'guo'dui'wai'mao'yi'yun'shu'gong'si 中国对外贸易运输公司
'zhong'guo'fa'lv'zi'xun'zhong'xin 中国法律咨询中心
'zhong'guo'fa'xue'hui 中国法学会
'zhong'guo'fan'yi'gong'zuo'zhe'xie'hui 中国翻译工作者协会
'zhong'guo'fang'zhi'pin'jin'chu'kou'gong'si 中国纺织品进出口公司
'zhong'guo'fo'jiao'xie'hui 中国佛教协会
'zhong'guo'fu'li'hui 中国福利会
'zhong'guo'ge'ju'yan'jiu'hui 中国歌剧研究会
'zhong'guo'gong'chan'dang 中国共产党
'zhong'guo'gong'chan'zhu'yi'qing'nian'tuan 中国共产主义青年团
'zhong'guo'gong'yi'pin'jin'chu'kou'gong'si 中国工艺品进出口公司
'zhong'guo'guo'ji'fa'xue'hui 中国国际法学会
'zhong'guo'guo'ji'jiao'liu'xie'hui 中国国际交流协会
'zhong'guo'guo'ji'jing'ji'ji'shu'jiao'liu'zhong'xin 中国国际经济技术交流中心
'zhong'guo'guo'ji'jing'ji'zi'xun'gong'si 中国国际经济咨询公司
'zhong'guo'guo'ji'ke'ji'hui'yi'zhong'xin 中国国际科技会议中心
'zhong'guo'guo'ji'mao'yi'cu'jin'hui 中国国际贸易促进会
'zhong'guo'guo'ji'mao'yi'tu'shu'zong'gong'si 中国国际贸易图书总公司
'zhong'guo'guo'ji'mao'yi'zhong'xin 中国国际贸易中心
'zhong'guo'guo'ji'wen'hua'jiao'liu'zhong'xin 中国国际文化交流中心
'zhong'guo'guo'ji'xin'tuo'tou'zi'gong'si 中国国际信托投资公司
'zhong'guo'guo'min'dang'ge'ming'wei'yuan'hui 中国国民党革命委员会
'zhong'guo'hang'kong'gong'ye'fu'wu'gong'si 中国航空工业服务公司
'zhong'guo'hang'kong'ji'shu'jin'chu'kou'gong'si 中国航空技术进出口公司
'zhong'guo'heng'qi'xie'hui 中国衡器协会
'zhong'guo'hong'shi'zi'hui'zong'hui 中国红十字会总会
'zhong'guo'hua'gong'jian'she'zong'gong'si 中国化工建设总公司
'zhong'guo'hua'gong'jin'chu'kou'gong'si 中国化工进出口公司
'zhong'guo'ji'du'jiao'san'zi'ai'guo'yun'dong'wei'yuan'hui 中国基督教三自爱国运动委员会
'zhong'guo'ji'du'jiao'xie'hui 中国基督教协会
'zhong'guo'ji'liang'ce'shi'xue'hui 中国计量测试学会
'zhong'guo'ji'shu'jin'chu'kou'zong'gong'si 中国技术进出口总公司
'zhong'guo'ji'xie'jin'chu'kou'gong'si 中国机械进出口公司
'zhong'guo'ji'xie'she'bei'jin'chu'kou'gong'si 中国机械设备进出口公司
'zhong'guo'jiao'yu'xue'hui 中国教育学会
'zhong'guo'jin'rong'xue'hui 中国金融学会
'zhong'guo'jing'ji'mao'yi'zi'xun'gong'si 中国经济贸易咨询公司
'zhong'guo'jing'mi'ji'xie'gong'si 中国精密机械公司
'zhong'guo'jiu'zhu'da'lao'gong'si 中国救助打捞公司
'zhong'guo'kang'ai'xie'hui 中国抗癌协会
'zhong'guo'kao'gu'xue'hui 中国考古学会
'zhong'guo'ke'xue'ji'shu'pu'ji'ji'chuang'zuo'xie'hui 中国科学技术普及及创作协会
'zhong'guo'ke'xue'ji'shu'qing'bao'yan'jiu'suo 中国科学技术情报研究所
'zhong'guo'ke'xue'ji'shu'shi'xue'hui 中国科学技术史学会
'zhong'guo'ke'xue'ji'shu'xie'hui 中国科学技术协会
'zhong'guo'ke'xue'ji'shu'zi'xun'fu'wu'zhong'xin 中国科学技术咨询服务中心
'zhong'guo'kuai'ji'xue'hui 中国会计学会
'zhong'guo'lian'he'guo'jiao'ke'wen'zu'zhi'quan'guo'wei'yuan'hui 中国联合国教科文组织全国委员会
'zhong'guo'lian'he'guo'xie'hui 中国联合国协会
'zhong'guo'liang'you'shi'pin'jin'chu'kou'gong'si 中国粮油食品进出口公司
'zhong'guo'mang'ren'long'ya'ren'xie'hui 中国盲人聋哑人协会
'zhong'guo'mei'shu'jia'xie'hui 中国美术家协会
'zhong'guo'min'jian'wen'yi'jia'xie'hui 中国民间文艺家协会
'zhong'guo'min'zhu'cu'jin'hui 中国民主促进会
'zhong'guo'min'zhu'jian'guo'hui 中国民主建国会
'zhong'guo'min'zhu'tong'meng 中国民主同盟
'zhong'guo'nong'gong'min'zhu'dang 中国农工民主党
'zhong'guo'qi'ye'guan'li'xie'hui 中国企业管理协会
'zhong'guo'qing'gong'ye'pin'jin'chu'kou'gong'si 中国轻工业品进出口公司
'zhong'guo'qu'yi'jia'xie'hui 中国曲艺家协会
'zhong'guo'ren'min'bao'wei'er'tong'quan'guo'wei'yuan'hui 中国人民保卫儿童全国委员会
'zhong'guo'ren'min'bao'xian'gong'si 中国人民保险公司
'zhong'guo'ren'min'dui'wai'you'hao'xie'hui 中国人民对外友好协会
'zhong'guo'ren'min'jie'fang'jun 中国人民解放军
'zhong'guo'ren'min'jie'fang'jun'bei'jing'jun'qu 中国人民解放军北京军区
'zhong'guo'ren'min'jie'fang'jun'bei'jing'wei'shu'qu 中国人民解放军北京卫戍区
'zhong'guo'ren'min'jie'fang'jun'cheng'du'jun'qu 中国人民解放军成都军区
'zhong'guo'ren'min'jie'fang'jun'di'er'pao'bing 中国人民解放军第二炮兵
'zhong'guo'ren'min'jie'fang'jun'ge'bu'dui 中国人民解放军各部队
'zhong'guo'ren'min'jie'fang'jun'ge'jun'bing'zhong 中国人民解放军各军兵种
'zhong'guo'ren'min'jie'fang'jun'gong'cheng'bing 中国人民解放军工程兵
'zhong'guo'ren'min'jie'fang'jun'guang'zhou'jun'qu 中国人民解放军广州军区
'zhong'guo'ren'min'jie'fang'jun'guo'fang'da'xue 中国人民解放军国防大学
'zhong'guo'ren'min'jie'fang'jun'hai'jun 中国人民解放军海军
'zhong'guo'ren'min'jie'fang'jun'hou'qin'xue'yuan 中国人民解放军后勤学院
'zhong'guo'ren'min'jie'fang'jun'ji'ben'jian'she'gong'cheng'bing 中国人民解放军基本建设工程兵
'zhong'guo'ren'min'jie'fang'jun'ji'nan'jun'qu 中国人民解放军济南军区
'zhong'guo'ren'min'jie'fang'jun'jun'shi'fa'yuan 中国人民解放军军事法院
'zhong'guo'ren'min'jie'fang'jun'jun'shi'jian'cha'yuan 中国人民解放军军事检察院
'zhong'guo'ren'min'jie'fang'jun'jun'shi'ke'xue'yuan 中国人民解放军军事科学院
'zhong'guo'ren'min'jie'fang'jun'jun'shi'xue'yuan 中国人民解放军军事学院
'zhong'guo'ren'min'jie'fang'jun'jun'shi'yuan'xiao 中国人民解放军军事院校
'zhong'guo'ren'min'jie'fang'jun'kong'jun 中国人民解放军空军
'zhong'guo'ren'min'jie'fang'jun'lan'zhou'jun'qu 中国人民解放军兰州军区
'zhong'guo'ren'min'jie'fang'jun'nan'jing'jun'qu 中国人民解放军南京军区
'zhong'guo'ren'min'jie'fang'jun'pao'bing 中国人民解放军炮兵
'zhong'guo'ren'min'jie'fang'jun'shang'hai'jing'bei'qu 中国人民解放军上海警备区
'zhong'guo'ren'min'jie'fang'jun'shen'yang'jun'qu 中国人民解放军沈阳军区
'zhong'guo'ren'min'jie'fang'jun'ti'yu'yun'dong'wei'yuan'hui 中国人民解放军体育运动委员会
'zhong'guo'ren'min'jie'fang'jun'tian'jin'jing'bei'qu 中国人民解放军天津警备区
'zhong'guo'ren'min'jie'fang'jun'tong'xin'bing 中国人民解放军通信兵
'zhong'guo'ren'min'jie'fang'jun'zheng'zhi'xue'yuan 中国人民解放军政治学院
'zhong'guo'ren'min'jie'fang'jun'zhuang'jia'bing 中国人民解放军装甲兵
'zhong'guo'ren'min'wai'jiao'xue'hui 中国人民外交学会
'zhong'guo'ren'min'yin'hang 中国人民银行
'zhong'guo'ren'min'zheng'zhi'xie'shang'hui'yi 中国人民政治协商会议
'zhong'guo'shao'nian'er'tong'ji'jin'hui 中国少年儿童基金会
'zhong'guo'shao'nian'xian'feng'dui 中国少年先锋队
'zhong'guo'she'ying'jia'xie'hui 中国摄影家协会
'zhong'guo'shi'you'gong'si 中国石油公司
'zhong'guo'shi'you'gong'si'hai'yang'fen'gong'si 中国石油公司海洋分公司
'zhong'guo'shu'fa'jia'xie'hui 中国书法家协会
'zhong'guo'suo'wei'chu'ban'wu'jin'chu'kou'gong'si 中国缩微出版物进出口公司
'zhong'guo'tian'zhu'jiao'ai'guo'hui 中国天主教爱国会
'zhong'guo'tian'zhu'jiao'jiao'wu'wei'yuan'hui 中国天主教教务委员会
'zhong'guo'tian'zhu'jiao'zhu'jiao'tuan 中国天主教主教团
'zhong'guo'tu'chan'xu'chan'jin'chu'kou'gong'si 中国土产畜产进出口公司
'zhong'guo'tu'shu'jin'chu'kou'zong'gong'si 中国图书进出口总公司
'zhong'guo'wai'lun'dai'li'gong'si 中国外轮代理公司
'zhong'guo'wen'xue'yi'shu'jie'lian'he'hui 中国文学艺术界联合会
'zhong'guo'wu'dao'jia'xie'hui 中国舞蹈家协会
'zhong'guo'wu'jin'kuang'chan'jin'chu'kou'gong'si 中国五金矿产进出口公司
'zhong'guo'xi'ju'jia'xie'hui 中国戏剧家协会
'zhong'guo'yi'qi'jin'chu'kou'gong'si 中国仪器进出口公司
'zhong'guo'yi'si'lan'jiao'xie'hui 中国伊斯兰教协会
'zhong'guo'yi'xue'hui 中国医学会
'zhong'guo'yin'yue'jia'xie'hui 中国音乐家协会
'zhong'guo'you'piao'zong'gong'si 中国邮票总公司
'zhong'guo'yuan'yang'yun'shu'gong'si 中国远洋运输公司
'zhong'guo'za'ji'yi'shu'jia'xie'hui 中国杂技艺术家协会
'zhong'guo'zheng'fa'xue'hui 中国政法学会
'zhong'guo'zhi'gong'dang 中国致公党
'zhong'guo'zu'chuan'gong'si 中国租船公司
'zhong'guo'zuo'jia'xie'hui 中国作家协会
'zhong'hua'quan'guo'fu'nv'lian'he'hui 中华全国妇女联合会
'zhong'hua'quan'guo'gong'shang'lian'he'hui 中华全国工商联合会
'zhong'hua'quan'guo'gui'guo'hua'qiao'lian'he'hui 中华全国归国华侨联合会
'zhong'hua'quan'guo'ji'you'lian'he'hui 中华全国集邮联合会
'zhong'hua'quan'guo'qing'nian'lian'he'hui 中华全国青年联合会
'zhong'hua'quan'guo'shi'jie'yu'xie'hui 中华全国世界语协会
'zhong'hua'quan'guo'tai'wan'tong'bao'lian'yi'hui 中华全国台湾同胞联谊会
'zhong'hua'quan'guo'ti'yu'zong'hui 中华全国体育总会
'zhong'hua'quan'guo'xin'wen'gong'zuo'zhe'xie'hui 中华全国新闻工作者协会
'zhong'hua'quan'guo'xue'sheng'lian'he'hui 中华全国学生联合会
'zhong'hua'quan'guo'zong'gong'hui 中华全国总工会
'zhong'hua'ren'min'gong'he'guo'zhong'yang'jun'shi'wei'yuan'hui 中华人民共和国中央军事委员会
'zhong'hua'ren'min'gong'he'guo'zhu'xi 中华人民共和国主席
'zhong'yang'ai'guo'wei'sheng'yun'dong'wei'yuan'hui 中央爱国卫生运动委员会
'zhong'yang'bian'yi'ju 中央编译局
'zhong'yang'dang'an'guan 中央档案馆
'zhong'yang'dang'de'jian'she'gong'zuo'ling'dao'xiao'zu 中央党的建设工作领导小组
'zhong'yang'dang'shi'yan'jiu'shi 中央党史研究室
'zhong'yang'dang'xiao 中央党校
'zhong'yang'dui'wai'lian'luo'bu 中央对外联络部
'zhong'yang'guo'jia'ji'guan'gong'zuo'wei'yuan'hui 中央国家机关工作委员会
'zhong'yang'jun'shi'wei'yuan'hui 中央军事委员会
'zhong'yang'lv'hua'wei'yuan'hui 中央绿化委员会
'zhong'yang'shu'ji'chu 中央书记处
'zhong'yang'tong'yi'zhan'xian'bu 中央统一战线部
'zhong'yang'wen'xian'bian'ji'wei'yuan'hui 中央文献编辑委员会
'zhong'yang'wen'xian'yan'jiu'shi 中央文献研究室
'zhong'yang'xuan'chuan'bu 中央宣传部
'zhong'yang'xuan'chuan'si'xiang'gong'zuo'ling'dao'xiao'zu 中央宣传思想工作领导小组
'zhong'yang'zheng'ce'yan'jiu'shi 中央政策研究室
'zhong'yang'zheng'dang'gong'zuo'zhi'dao'wei'yuan'hui 中央整党工作指导委员会
'zhong'yang'zheng'fa'wei'yuan'hui 中央政法委员会
'zhong'yang'zheng'zhi'ju 中央政治局
'zhong'yang'zheng'zhi'ju'chang'wu'wei'yuan'hui 中央政治局常务委员会
'zhong'yang'zu'zhi'bu 中央组织部
'zhu'xi'tuan 主席团
'zong'can'mou'bu 总参谋部
'zong'hou'qin'bu 总后勤部
'zong'zheng'zhi'bu 总政治部
'zui'gao'ren'min'fa'yuan 最高人民法院
'zui'gao'ren'min'jian'cha'yuan 最高人民检察院
