'an'zhao'chan'ye'ji'ju 按照产业集聚
'qiang'hua'dui'shui'zi'yuan'kai'fa'li'yong'de'guan'li 强化对水资源开发利用的管理
'qiang'hua'zheng'ce'zhi'chi 强化政策支持
'qing'jie'de'neng'yuan'gong'ying'ti'xi 清洁的能源供应体系
'quan'mian'luo'shi'dang'de'jiao'yu'fang'zhen 全面落实党的教育方针
'san'ge'dai'biao 三个代表
'she'hui'zhu'yi'de'feng'fu'nei'rong 社会主义的丰富内容
'she'hui'zhu'yi'de'si'xiang'yao'qiu 社会主义的思想要求
'she'hui'zhu'yi'jiao'yu'jin'mi'jie'he'qi'lai 社会主义教育紧密结合起来
'she'hui'zhu'yi'rong'ru'guan'fan'ying'le'ai'guo'zhu'yi 社会主义荣辱观反映了爱国主义
'shen'ru'guan'che'dang'de'shi'liu'da'jing'shen 深入贯彻党的十六大精神
'sheng'wu 生物
'sheng'wu'zhi'neng'deng'ke'zai'sheng'neng'yuan 生物质能等可再生能源
'shi'shi'qiu'shi 实事求是
'shi'xiao'xing'he'xi'yin'li 实效性和吸引力
'shi'xing'you'qi'bing'ju 实行油气并举
'shui'li'jian'she 水利建设
'tai'yang'neng 太阳能
'te'bie'shi'zai'gao'xiao'qing'jie'fa'dian'he'shu'bian'dian 特别是在高效清洁发电和输变电
'ti'gao'fang'hong'kang'han'neng'li 提高防洪抗旱能力
'ti'gao'yan'fa'she'ji 提高研发设计
'ti'gao'zhong'da'ji'shu'zhuang'bei'guo'chan'hua'shui'ping 提高重大技术装备国产化水平
'tiao'zheng'gai'zao'zhong'xiao'mei'kuang 调整改造中小煤矿
'tie'jin'sheng'huo 贴近生活
'tie'jin'shi'ji 贴近实际
'tie'jin'xue'sheng 贴近学生
'tong'chou'shang'xia'you 统筹上下游
'wang'luo'hua 网络化
'wen'bu'fa'zhan'shi'you'ti'dai'chan'pin 稳步发展石油替代产品
'xian'jin'shi'yong'yun'shu'zhuang'bei 先进适用运输装备
'xin'cai'liao 新材料
'xin'neng'yuan 新能源
'xin'xi'chan'ye 信息产业
'xu'yao'quan'dang'quan'she'hui'gong'tong'nu'li 需要全党全社会共同努力
'yao'gen'ju'shu'zi'hua 要根据数字化
'yao'he'li'bu'ju 要合理布局
'yao'jia'qiang'da'jiang'da'he'zhi'li 要加强大江大河治理
'yao'tong'guo'jiao'yu'he'shi'jian 要通过教育和实践
'yao'tong'kai'zhan'ai'guo'zhu'yi 要同开展爱国主义
'yao'yi'tuo'zhong'dian'jian'she'gong'cheng 要依托重点建设工程
'yi'ai'guo'zhu'yi'jiao'yu'wei'zhong'dian 以爱国主义教育为重点
'yi'da'xue'sheng'quan'mian'fa'zhan'wei'mu'biao 以大学生全面发展为目标
'yi'li'xiang'xin'nian'jiao'yu'wei'he'xin 以理想信念教育为核心
'yi'si'xiang'dao'de'jian'she'wei'ji'chu 以思想道德建设为基础
'yu'shi'ju'jin 与时俱进
'zai'bao'hu'sheng'tai'ji'chu'shang'you'xu'kai'fa'shui'dian 在保护生态基础上有序开发水电
'zeng'qiang'shi'you'zhan'lue'chu'bei'neng'li 增强石油战略储备能力
'zhi'dao'si'xiang'shi 指导思想是
'zhi'neng'hua'zong'ti'qu'shi 智能化总体趋势
'zhong'yao'si'xiang'wei'zhi'dao 重要思想为指导
'zhuang'bei'zhi'zao'ye 装备制造业
'zi'dong'hua'kong'zhi 自动化控制
'zi'xin'xin 自信心
